"ean","name","brand","pack_size","category","image_url","source"
"05000116125234","Birds Eye Crispy Pancakes Beef & Onion 4 Pack 266G","BIRDS EYE","266G","Frozen Food > Frozen Ready Meals > Frozen Snacking","https://digitalcontent.api.tesco.com/v2/media/ghs/3e55410b-419d-4b54-a446-a54282fd37ec/15b37da6-6399-4dd8-8a6d-ac1358fcc282.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"09781803683058","Unicorn & Dino Storybooks 4 Pack","IGLOO","","Home & Ents > Party & Giftwrap > Party Bags & Loot Bags","https://digitalcontent.api.tesco.com/v2/media/ghs/5deb22d1-7cc7-4cb9-9002-1fd6ea203059/93ed96a1-f2ac-4bcf-8803-ebdbb43b8373_674482878.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"00000050020881","Schwartz Fish Seasoning 55G","SCHWARTZ","55G","Food Cupboard > Cooking Ingredients > Seasoning, Herbs & Spices","https://digitalcontent.api.tesco.com/v2/media/ghs/9c024dec-99a1-4dd0-aadb-f0d13b96c248/801f35a2-4b13-4e30-baf0-af589425c55a_1034377439.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05057545678336","Hearty Food Co Mac 'N' Cheese 400G","HEARTY FOOD CO.","400G","Frozen Food > Frozen Ready Meals > Frozen Italian & Mediterranean Ready Meals","https://digitalcontent.api.tesco.com/v2/media/ghs/40ceddbc-46b8-418e-8dbd-516477df6a3f/438f9241-7504-4d0f-827c-db1f85a454d5.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05051140474201","Tesco Dijon Mustard 185G","TESCO","185G","Food Cupboard > Table Sauces, Olives, Pickles & Chutney > Mustard","https://digitalcontent.api.tesco.com/v2/media/ghs/2f40e46b-e9f7-45cb-b632-61994e01bc28/a4cd1ab1-8338-4a37-9ecc-a81cd0795277_284196255.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"08001110016372","Disaronno Amaretto 50Cl","DISARONNO","50CL","Drinks > Spirits > Tequila, Liqueurs & Aperitifs","https://digitalcontent.api.tesco.com/v2/media/ghs/333feea2-67f0-4d3c-b2ea-7bbe19afc0be/9a3a33aa-b10b-40c9-9601-507eeef5a1ca.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05031863162203","Little Life Buggy Blackout","LITTLE LIFE","","Baby > Toys & Nursery Accessories > Baby & Toddler Travel Accessories","https://digitalcontent.api.tesco.com/v2/media/ghs/c7cb70f6-faaf-4495-9459-fddad1dd27d2/91359716-2605-44c6-9cea-beb52a6670e1_561989845.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05010067310054","Crusha Limited Edition Milk Shake Mix Lime Flavoured 500Ml","CRUSHA","500ML","Drinks > Milkshake > Milkshake Mix","https://digitalcontent.api.tesco.com/v2/media/ghs/5fa3dad1-4483-40c6-9a5e-1e1c4618c562/818309b4-2a94-4078-b83c-a8fcc4a95953_618273382.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05000354919565","Bisto Onion Gravy Granules 190G","BISTO","190G","Food Cupboard > Cooking Ingredients > Gravy, Stuffing & Breadcrumbs","https://digitalcontent.api.tesco.com/v2/media/ghs/37c1df4f-97c6-4fd8-aea3-b50f941552bd/ee0b036c-5514-4897-b604-8121162df93d_307059837.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05057753893958","Tesco Finest Wholemeal Seeds And Grains Bread 800G","TESCO FINEST","800G","Bakery > Bread & Rolls > Seeded Bread","https://digitalcontent.api.tesco.com/v2/media/ghs/8f2ae742-2685-44e4-b257-7cbee1b0e862/b2991f2d-ac46-4974-901c-85168f276e20.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
